Issue Type,Translation Key,Details
Missing,about.mission,"Missing in: ru, zh"
Missing,about.mission_text,"Missing in: ru, zh"
Missing,about.description,"Missing in: ru, zh"
Missing,insights.market_momentums,Missing in: en
Missing,about.lead_text,"Missing in: ru, zh"
Missing,about.vision_text,"Missing in: ru, zh"
Missing,about.title,"Missing in: ru, zh"
Missing,about.vision,"Missing in: ru, zh"
Missing,insights.arket_momentums,"Missing in: ru, zh"
Unused,image_credits.creator,"Unused in: en, ru, zh"
Unused,image_credits.source,"Unused in: en, ru, zh"
Unused,image_credits.license,"Unused in: en, ru, zh"
Unused,image_credits.used_in,"Unused in: en, ru, zh"
Unused,generation.first,"Unused in: en, ru, zh"
Unused,generation.second,"Unused in: en, ru, zh"
Unused,generation.transition,"Unused in: en, ru, zh"
Unused,transition_status.active,"Unused in: en, ru, zh"
Unused,transition_status.succession,"Unused in: en, ru, zh"
Unused,transition_status.seeking_partners,"Unused in: en, ru, zh"
Unused,transition_status.expansion,"Unused in: en, ru, zh"
Unused,founders.alexei_sokolov,"Unused in: en, ru, zh"
Unused,founders.anna_kuznetsova,"Unused in: en, ru, zh"
Unused,founders.dmitri_voronin,"Unused in: en, ru, zh"
Unused,founders.eduardo_santos,"Unused in: en, ru, zh"
Unused,founders.georgie_yam,"Unused in: en, ru, zh"
Unused,founders.isabela_mendez,"Unused in: en, ru, zh"
Unused,founders.ivan_petrov,"Unused in: en, ru, zh"
Unused,founders.maria_kuznetsova,"Unused in: en, ru, zh"
Unused,founders.marina_petrova,"Unused in: en, ru, zh"
Unused,founders.mikhail_sorokin,"Unused in: en, ru, zh"
Unused,founders.nikolai_volkov,"Unused in: en, ru, zh"
Unused,founders.sofia_egorova,"Unused in: en, ru, zh"
Unused,brand_names.altai_honey,"Unused in: en, ru, zh"
Unused,brand_names.amazonia_organics,"Unused in: en, ru, zh"
Unused,brand_names.baikal_brewing,"Unused in: en, ru, zh"
Unused,brand_names.casa_do_sol,"Unused in: en, ru, zh"
Unused,brand_names.crimean_legacy,"Unused in: en, ru, zh"
Unused,brand_names.dragonfly_retreats,"Unused in: en, ru, zh"
Unused,brand_names.krasnodar_wines,"Unused in: en, ru, zh"
Unused,brand_names.moskva_chai,"Unused in: en, ru, zh"
Unused,brand_names.russian_brew,"Unused in: en, ru, zh"
Unused,brand_names.serra_verde,"Unused in: en, ru, zh"
Unused,brand_names.seven_spices,"Unused in: en, ru, zh"
Unused,brand_names.siberian_gold,"Unused in: en, ru, zh"
Unused,brand_names.siberian_harvest,"Unused in: en, ru, zh"
Unused,brand_names.sojourn_hotels,"Unused in: en, ru, zh"
Unused,brand_names.taiga_spirits,"Unused in: en, ru, zh"
Unused,brand_names.teatime,"Unused in: en, ru, zh"
Unused,brand_names.terra_brasil_tours,"Unused in: en, ru, zh"
Undefined,filter.no_results,Used in templates but not defined in any language file
Undefined,footer.copyright,Used in templates but not defined in any language file
Undefined,authors,Used in templates but not defined in any language file
Undefined,filter,Used in templates but not defined in any language file
Undefined,brands.featured_description,Used in templates but not defined in any language file
Undefined,discover,Used in templates but not defined in any language file
Undefined,tooltips,Used in templates but not defined in any language file
Undefined,brand.est,Used in templates but not defined in any language file
Undefined,forms.email,Used in templates but not defined in any language file
Undefined,footer,Used in templates but not defined in any language file
Undefined,insights.secondary_categories,Used in templates but not defined in any language file
Undefined,brand.generation_first,Used in templates but not defined in any language file
Undefined,insights.country_focus,Used in templates but not defined in any language file
Undefined,testimonials,Used in templates but not defined in any language file
Undefined,attributes,Used in templates but not defined in any language file
Undefined,pagination.next,Used in templates but not defined in any language file
Undefined,general.read_more,Used in templates but not defined in any language file
Undefined,filter.clear_all,Used in templates but not defined in any language file
Undefined,general.standard,Used in templates but not defined in any language file
Undefined,discover.explore_all,Used in templates but not defined in any language file
Undefined,insights.content_types,Used in templates but not defined in any language file
Undefined,brand.generation_transition,Used in templates but not defined in any language file
Undefined,sectors,Used in templates but not defined in any language file
Undefined,filter.featured_level,Used in templates but not defined in any language file
Undefined,pages.brands.title,Used in templates but not defined in any language file
Undefined,about,Used in templates but not defined in any language file
Undefined,market_sectors,Used in templates but not defined in any language file
Undefined,brand.founder_led,Used in templates but not defined in any language file
Undefined,sectors.size,Used in templates but not defined in any language file
Undefined,errors,Used in templates but not defined in any language file
Undefined,markets,Used in templates but not defined in any language file
Undefined,pagination.previous,Used in templates but not defined in any language file
Undefined,brand.no_related_brands,Used in templates but not defined in any language file
Undefined,distribution_models,Used in templates but not defined in any language file
Undefined,general.awards,Used in templates but not defined in any language file
Undefined,forms,Used in templates but not defined in any language file
Undefined,insights.discover_description,Used in templates but not defined in any language file
Undefined,sort.founded,Used in templates but not defined in any language file
Undefined,forms.message,Used in templates but not defined in any language file
Undefined,search,Used in templates but not defined in any language file
Undefined,premium,Used in templates but not defined in any language file
Undefined,brands,Used in templates but not defined in any language file
Undefined,buttons,Used in templates but not defined in any language file
Undefined,insights.categories,Used in templates but not defined in any language file
Undefined,insights.no_featured_brands,Used in templates but not defined in any language file
Undefined,filter.all_brands,Used in templates but not defined in any language file
Undefined,nav,Used in templates but not defined in any language file
Undefined,attributes.founder_led,Used in templates but not defined in any language file
Undefined,brand,Used in templates but not defined in any language file
Undefined,home,Used in templates but not defined in any language file
Undefined,brand.related_insights,Used in templates but not defined in any language file
Undefined,site,Used in templates but not defined in any language file
Undefined,forms.name,Used in templates but not defined in any language file
Undefined,brand.generation_second,Used in templates but not defined in any language file
Undefined,brands.view_all,Used in templates but not defined in any language file
Undefined,forms.submit,Used in templates but not defined in any language file
Undefined,pages,Used in templates but not defined in any language file
Undefined,pages.brands.description,Used in templates but not defined in any language file
Undefined,signals,Used in templates but not defined in any language file
Undefined,insights.view_all_featured_brands,Used in templates but not defined in any language file
Undefined,brands.featured_brands,Used in templates but not defined in any language file
Undefined,dimensions,Used in templates but not defined in any language file
Undefined,general.featured,Used in templates but not defined in any language file
Undefined,pages.brands,Used in templates but not defined in any language file
Undefined,sort,Used in templates but not defined in any language file
Undefined,general,Used in templates but not defined in any language file
Undefined,brands.recently_added,Used in templates but not defined in any language file
Undefined,privacy,Used in templates but not defined in any language file
Undefined,tags,Used in templates but not defined in any language file
Undefined,insights,Used in templates but not defined in any language file
Undefined,pages.brands.lead_text,Used in templates but not defined in any language file
Undefined,social,Used in templates but not defined in any language file
Undefined,pagination.current,Used in templates but not defined in any language file
Undefined,filter.heading,Used in templates but not defined in any language file
Undefined,pagination,Used in templates but not defined in any language file
Undefined,sort.market,Used in templates but not defined in any language file
Undefined,pages.brands.heading,Used in templates but not defined in any language file
