Translation Key,Used In
about.lead_text,en/about.md
about.mission,en/about.md
attributes,"collections/dimensions/discovery-dimensions-grid.html, en/discover/attributes.md, en/discovery.md, ru/discover/attributes.md, ru/discovery.md, zh/discover/attributes.md, zh/discovery.md"
attributes.founder_led,components/cards/featured-brand.html
authors,"components/cards/insight-card.html, insight.html"
brand.certifications,brand.html
brand.contact,brand.html
brand.distribution_models,brand.html
brand.email,brand.html
brand.est,components/content/featured-content.html
brand.export_markets,brand.html
brand.founder,brand.html
brand.founder_led,components/cards/brand-card.html
brand.founding_year,"brand.html, components/cards/brand-card.html, components/cards/featured-brand.html, components/carousels/featured-brands-carousel.html"
brand.gallery,brand.html
brand.generation_first,brand.html
brand.generation_second,brand.html
brand.generation_transition,brand.html
brand.international,brand.html
brand.location,brand.html
brand.location_intelligence,brand.html
brand.no_related_brands,collections/brands/related-brands-list.html
brand.related_brands,brand.html
brand.related_insights,brand.html
brand.social_media,brand.html
brand.subsectors,brand.html
brand.timeline,brand.html
brand.website,brand.html
brands.featured_brands,brands.html
brands.featured_description,brands.html
brands.recently_added,brands.html
brands.view_all,market-sector.html
buttons,components/buttons/button.html
buttons.all_brands,"components/carousels/featured-brands-carousel.html, en/discovery.md, ru/discovery.md, ru/index.html, zh/discovery.md, zh/index.html"
buttons.get_in_touch,"en/index.html, ru/index.html, zh/index.html"
buttons.view_more,"en/discovery.md, ru/discovery.md, zh/discovery.md"
buttons.view_profile,components/cards/brand-card.html
dimensions,collections/dimensions/dimension-cloud.html
dimensions.attributes,"brand.html, collections/dimensions/discovery-dimensions-grid.html, components/search/search-filter.html, insight.html"
dimensions.markets,"brand.html, collections/dimensions/discovery-dimensions-grid.html, components/search/search-filter.html, insight.html, insights.html"
dimensions.no_insights,dimension.html
dimensions.sectors,"brand.html, collections/dimensions/discovery-dimensions-grid.html, components/search/search-filter.html, insight.html, insights.html"
dimensions.signals,"brand.html, collections/dimensions/discovery-dimensions-grid.html, components/search/search-filter.html, insight.html"
dimensions.view_all_insights,dimension.html
discover.attributes_description,collections/dimensions/discovery-dimensions-grid.html
discover.discover_subtitle,"en/discovery.md, ru/discovery.md, zh/discovery.md"
discover.discover_title,"en/discovery.md, ru/discovery.md, zh/discovery.md"
discover.explore,"en/index.html, ru/index.html, zh/index.html"
discover.explore_all,collections/dimensions/discovery-dimensions-grid.html
discover.explore_attribute,dimension-specific/attributes.html
discover.explore_market,dimension-specific/markets.html
discover.explore_sector,dimension-specific/sectors.html
discover.explore_signal,dimension-specific/signals.html
discover.markets_description,collections/dimensions/discovery-dimensions-grid.html
discover.sectors_description,collections/dimensions/discovery-dimensions-grid.html
discover.signals_description,collections/dimensions/discovery-dimensions-grid.html
discover.view_all_attributes,"collections/dimensions/discovery-dimensions-grid.html, en/discovery.md, ru/discovery.md, zh/discovery.md"
discover.view_all_markets,"collections/dimensions/discovery-dimensions-grid.html, en/discovery.md, ru/discovery.md, zh/discovery.md"
discover.view_all_sectors,"collections/dimensions/discovery-dimensions-grid.html, en/discovery.md, ru/discovery.md, zh/discovery.md"
discover.view_all_signals,"collections/dimensions/discovery-dimensions-grid.html, en/discovery.md, ru/discovery.md, zh/discovery.md"
distribution_models,brand.html
errors.not_found,"en/404.md, ru/404.md, zh/404.md"
errors.not_found_description,"en/404.md, ru/404.md, zh/404.md"
errors.try_search,"en/404.md, ru/404.md, zh/404.md"
filter.all_brands,brands.html
filter.clear_all,components/search/search-filter.html
filter.featured_level,brands.html
filter.heading,components/search/search-filter.html
filter.no_results,brands.html
footer,layout/footer.html
footer.company_name,layout/footer.html
footer.company_number,layout/footer.html
footer.copyright,layout/footer.html
footer.tagline,layout/footer.html
forms.email,components/forms/form.html
forms.message,components/forms/form.html
forms.name,components/forms/form.html
forms.submit,components/forms/form.html
general.awards,brand.html
general.featured,"brand.html, brands.html, components/cards/featured-brand.html, components/content/featured-content.html"
general.read_more,"components/cards/featured-brand.html, components/content/featured-content.html"
general.standard,brands.html
home.cta_button,"ru/index.html, zh/index.html"
home.featured_brands,"en/discovery.md, en/index.html, ru/discovery.md, ru/index.html, zh/discovery.md, zh/index.html"
home.no_featured_brands,"components/carousels/featured-brands-carousel.html, en/discovery.md, ru/discovery.md, zh/discovery.md"
home.stay_updated,"en/index.html, ru/index.html, zh/index.html"
home.subscribe_text,"en/index.html, ru/index.html, zh/index.html"
home.success_stories,"en/index.html, ru/index.html, zh/index.html"
home.testimonials_intro,"en/index.html, ru/index.html, zh/index.html"
home.view_profile,components/carousels/featured-brands-carousel.html
insights,"brand.html, components/cards/insight-card.html, insight.html, insights.html"
insights.all_insights,"en/index.html, ru/index.html, zh/index.html"
insights.author,insight.html
insights.back_to_insights,"insight.html, insights-type.html"
insights.brand_spotlight,collections/insights/latest-insights-grid.html
insights.categories,insights.html
insights.content_types,components/search/search-filter.html
insights.country_focus,"insight.html, insights.html"
insights.discover_description,"en/index.html, ru/index.html, zh/index.html"
insights.featured_brands,"insight.html, insights.html"
insights.founders_journey,collections/insights/latest-insights-grid.html
insights.latest,"en/discovery.md, en/index.html, insights.html, ru/discovery.md, ru/index.html, zh/discovery.md, zh/index.html"
insights.no_featured_brands,insights.html
insights.no_insights,"collections/insights/latest-insights-grid.html, en/discover/attributes.md, en/discover/markets.md, en/discover/sectors.md, en/discover/signals.md, en/discovery.md, insights.html, ru/discover/attributes.md, ru/discover/markets.md, ru/discover/sectors.md, ru/discover/signals.md, ru/discovery.md, zh/discover/attributes.md, zh/discover/markets.md, zh/discover/sectors.md, zh/discover/signals.md, zh/discovery.md"
insights.premium_content,insight.html
insights.published_on,insight.html
insights.read_more,"collections/insights/latest-insights-grid.html, components/cards/insight-card.html"
insights.reading_time,"components/cards/insight-card.html, insight.html"
insights.reading_time_filter,insights.html
insights.reading_time_in_depth,insights.html
insights.reading_time_medium,insights.html
insights.reading_time_quick,insights.html
insights.related,insight.html
insights.secondary_categories,insight.html
insights.view_all,"collections/insights/latest-insights-grid.html, en/discovery.md, en/index.html, ru/discovery.md, ru/index.html, zh/discovery.md, zh/index.html"
insights.view_all_featured_brands,insights.html
market_sectors.back_to_market,market-sector.html
market_sectors.back_to_sector,market-sector.html
market_sectors.highlights,market-sector.html
market_sectors.market_sector_subtitle,market-sector.html
market_sectors.no_brands,market-sector.html
market_sectors.opportunities,market-sector.html
market_sectors.regions,market-sector.html
market_sectors.related_brands,market-sector.html
markets,"collections/dimensions/discovery-dimensions-grid.html, dimension.html, en/discover/markets.md, en/discovery.md, market-sector.html, ru/discover/markets.md, ru/discovery.md, zh/discover/markets.md, zh/discovery.md"
markets.key_sectors,dimension.html
markets.view_all_sectors,dimension.html
nav,components/navigation/navigation.html
nav.attributes,"collections/dimensions/discovery-navigation.html, en/discovery.md, ru/discovery.md, zh/discovery.md"
nav.brands,en/styleguide/patterns/multilingual.md
nav.browse_brands,"en/404.md, ru/404.md, zh/404.md"
nav.home,"en/404.md, ru/404.md, zh/404.md"
nav.markets,"collections/dimensions/discovery-navigation.html, en/discovery.md, ru/discovery.md, zh/discovery.md"
nav.sectors,"collections/dimensions/discovery-navigation.html, en/discovery.md, ru/discovery.md, zh/discovery.md"
nav.signals,"collections/dimensions/discovery-navigation.html, en/discovery.md, ru/discovery.md, zh/discovery.md"
pages.brands.description,en/styleguide/patterns/multilingual.md
pages.brands.heading,en/styleguide/patterns/multilingual.md
pages.brands.lead_text,en/styleguide/patterns/multilingual.md
pages.brands.title,en/styleguide/patterns/multilingual.md
pagination,components/navigation/pagination.html
pagination.current,components/navigation/pagination.html
pagination.load_more,brands.html
pagination.next,components/navigation/pagination.html
pagination.previous,components/navigation/pagination.html
premium.content,components/cards/insight-card.html
privacy.contact_email_body,"en/privacy.md, ru/privacy.md, zh/privacy.md"
privacy.contact_email_label,"en/privacy.md, ru/privacy.md, zh/privacy.md"
privacy.contact_email_subject,"en/privacy.md, ru/privacy.md, zh/privacy.md"
search.all_brands,brands.html
search.button,"brands.html, components/search/search-filter.html, en/404.md, en/brands.md, en/search.md, ru/404.md, ru/brands.md, ru/search.md, zh/404.md, zh/brands.md, zh/search.md"
search.placeholder,"brands.html, components/search/search-filter.html, components/search/simple-search.html, en/404.md, en/brands.md, en/search.md, ru/404.md, ru/brands.md, ru/search.md, zh/404.md, zh/brands.md, zh/search.md"
search.popular_searches,"en/404.md, en/brands.md, en/search.md, ru/404.md, ru/brands.md, ru/search.md, zh/404.md, zh/brands.md, zh/search.md"
sectors,"collections/dimensions/discovery-dimensions-grid.html, en/discover/markets/russia/sectors/index.md, en/discovery.md, market-sector.html, ru/discover/sectors.md, ru/discovery.md, zh/discover/sectors.md, zh/discovery.md"
sectors.learn_more_market,market-sector-highlight.html
sectors.market_highlights,dimension.html
sectors.size,"en/discovery.md, ru/discovery.md, zh/discovery.md"
signals,"collections/dimensions/discovery-dimensions-grid.html, en/discover/signals.md, en/discovery.md, ru/discover/signals.md, ru/discovery.md, zh/discover/signals.md, zh/discovery.md"
site.title,"README.md, en/styleguide/patterns/navigation.md, layout/header.html"
social,layout/footer.html
social.facebook,brand.html
social.instagram,brand.html
social.linkedin,brand.html
social.pinterest,brand.html
social.redbook,brand.html
social.telegram,brand.html
social.tiktok,brand.html
social.twitter,brand.html
social.vk,brand.html
social.wechat,brand.html
social.weibo,brand.html
social.youtube,brand.html
sort.founded,brands.html
sort.label,brands.html
sort.market,brands.html
sort.name,brands.html
sort.sector,brands.html
tags,components/search/search-filter.html
testimonials.dragonfly_retreats,"en/index.html, ru/index.html, zh/index.html"
testimonials.georgie_yam,"en/index.html, ru/index.html, zh/index.html"
tooltips.attributes,collections/dimensions/discovery-navigation.html
tooltips.markets,collections/dimensions/discovery-navigation.html
tooltips.sectors,collections/dimensions/discovery-navigation.html
tooltips.signals,collections/dimensions/discovery-navigation.html
